,ABIERTA 1,ABIERTA_LIMPIADA,ABIERTA_LIMPIADA_TEXT,sentimiento,polaridad,subjetividad,categoria_sentimiento,cluster
52,"FUE SOCIABILIZAR MAS APRENDER SOBRE ASEO BUCAL FUE MUY IMPORTANTE , PUDIESEN SEGUIR VINIENDO MAS A LAS COMUNAS Y QUE BUENO QUE LOS JOVENES VEAN REALIDADES DE LOS ADULTOS MAYORES , FUERON MUY AMABLES , TUVIMOS SUERTE DE PARTICIPAR EN TALLERE COMO ESTOS Y SON MUY NECESARIOS. AGREDECIMIENTO ...","['sociabilizar', 'aprender', 'aseo', 'bucal', 'importante', 'pudiesen', 'seguir', 'viniendo', 'comunas', 'bueno', 'jovenes', 'vean', 'realidades', 'adultos', 'mayores', 'amables', 'suerte', 'participar', 'tallere', 'necesarios', 'agredecimiento']",sociabilizar aprender aseo bucal importante pudiesen seguir viniendo comunas bueno jovenes vean realidades adultos mayores amables suerte participar tallere necesarios agredecimiento,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
53,"NO TENIA IDEA DE LA PODOLOGIA, LE AYUDO BASTANTE A CUIDARSE MEJOR LOS PIES, NO HA TENIDO EL DINERO PARA COMPRARSE LA CREMA QUE LE RECOMENDARON, LA SALUD DENTAL","['tenia', 'idea', 'podologia', 'ayudo', 'bastante', 'cuidarse', 'mejor', 'pies', 'dinero', 'comprarse', 'crema', 'recomendaron', 'salud', 'dental']",tenia idea podologia ayudo bastante cuidarse mejor pies dinero comprarse crema recomendaron salud dental,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
54,"BUENO, ME SIRVO TODO, SU APORTE Y MUY SERVICIAL, Y TODO FUE MUY BUENO, ESTOY CONFORME Y AGRADECIDA  A ESTA ALTURA DE MI EDAD, FUE MUY BUENA","['bueno', 'sirvo', 'aporte', 'servicial', 'bueno', 'conforme', 'agradecida', 'altura', 'edad', 'buena']",bueno sirvo aporte servicial bueno conforme agradecida altura edad buena,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
55,ME DIO LA OPORTUNIDAD DE CONOCER MAS PERSONAS Y APRENDER A VALORIZARME COMO PERSONA,"['dio', 'oportunidad', 'conocer', 'personas', 'aprender', 'valorizarme', 'persona']",dio oportunidad conocer personas aprender valorizarme persona,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
56,conocimiento. Interacción con otros. A tener un mejor autocuidado,"['conocimiento', 'interacción', 'tener', 'mejor', 'autocuidado']",conocimiento interacción tener mejor autocuidado,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
57,"SALIR DE LA RUTINA DEL TRABAJO, COMPARTIR CON OTRAS PERSONAS DE NUESTRA EDAD Y LOS CHICOS DE STO. TOMAS Y RECREACION","['salir', 'rutina', 'trabajo', 'compartir', 'personas', 'edad', 'chicos', 'sto', 'recreacion']",salir rutina trabajo compartir personas edad chicos sto recreacion,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
58,LE ENSEÑO A CUIDAR SUS PIES POR SU DIABETES,"['enseño', 'cuidar', 'pies', 'diabetes']",enseño cuidar pies diabetes,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
59,EL PODER TENER MAS CONOCIDOS DE LA MISMA EDAD Y CONCER LA SITUACION PERSONAL DE CASA DE PERSONA EL CURSO,"['poder', 'tener', 'conocidos', 'misma', 'edad', 'concer', 'situacion', 'personal', 'casa', 'persona', 'curso']",poder tener conocidos misma edad concer situacion personal casa persona curso,"Sentiment(polarity=0.0, subjectivity=0.3)",0,0.3,Neutro,1
60,"FUE... ME AYUDO A UN TALLER DE PODOLOGIA Y EL CUIDADO DE LOS PIES, ME AYUDO A SOCIABILIZAR CON LAS DEMAS  PERSONAS, NOS ATENDIERON Y LO MEJOR DE QUE ME GUSTO, NOS ATENDIERON BIEN, NOS ENSEÑARON SALUD BUCAL BASTANTE, TRATARSE LOS DIENTE Y AL DENTISTA, LOS PLANES QUE TIENE EL POLI QUE NO SABIA","['ayudo', 'taller', 'podologia', 'cuidado', 'pies', 'ayudo', 'sociabilizar', 'demas', 'personas', 'atendieron', 'mejor', 'gusto', 'atendieron', 'bien', 'enseñaron', 'salud', 'bucal', 'bastante', 'tratarse', 'diente', 'dentista', 'planes', 'poli', 'sabia']",ayudo taller podologia cuidado pies ayudo sociabilizar demas personas atendieron mejor gusto atendieron bien enseñaron salud bucal bastante tratarse diente dentista planes poli sabia,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
61,"Adquirir conocimiento, valor, respeto, mucha entretención, dedicación y preocupación de los alumnos y profesores. Mil gracias por todo lo entregado, confío sigan estás instancias por el beneficio de los adultos mayores. Gracias totales a Sra Cora, profe Luis y la Sra Marisol. Són el trío maravilloso y poderoso . Dios los bendiga a todos.","['adquirir', 'conocimiento', 'valor', 'respeto', 'mucha', 'entretención', 'dedicación', 'preocupación', 'alumnos', 'profesores', 'mil', 'gracias', 'entregado', 'confío', 'sigan', 'instancias', 'beneficio', 'adultos', 'mayores', 'gracias', 'totales', 'sra', 'cora', 'profe', 'luis', 'sra', 'marisol', 'són', 'trío', 'maravilloso', 'poderoso', 'dios', 'bendiga']",adquirir conocimiento valor respeto mucha entretención dedicación preocupación alumnos profesores mil gracias entregado confío sigan instancias beneficio adultos mayores gracias totales sra cora profe luis sra marisol són trío maravilloso poderoso dios bendiga,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
